timestamp,price,buy_volume,sell_volume,volume_diff,total_volume,aggressor
2020-07-03 10:00:00,9076.53,780.915491,876.589781,-95.67429000000004,1657.5052719999999,Sell
2020-07-03 11:00:00,9097.0,755.064808,635.086382,119.97842600000001,1390.15119,Buy
2020-07-03 12:00:00,9107.98,668.473266,595.471797,73.00146899999993,1263.9450630000001,Buy
2020-07-03 13:00:00,9088.24,662.059472,679.879605,-17.82013299999994,1341.939077,Sell
2020-07-03 14:00:00,9086.63,670.810963,641.824794,28.986169000000018,1312.635757,Buy
2020-07-03 15:00:00,9100.39,737.924265,690.727438,47.196826999999985,1428.651703,Buy
2020-07-03 16:00:00,9089.27,737.599651,878.525563,-140.92591200000004,1616.1252140000001,Sell
2020-07-03 17:00:00,9088.23,545.020586,536.0131250000001,9.007460999999921,1081.033711,Buy
2020-07-03 18:00:00,9079.26,440.527485,571.331412,-130.803927,1011.8588970000001,Sell
2020-07-03 19:00:00,9085.72,495.654316,451.646098,44.008218,947.300414,Buy
2020-07-03 20:00:00,9088.49,456.513819,480.474589,-23.960769999999968,936.9884079999999,Sell
2020-07-03 21:00:00,9096.61,304.470294,307.472362,-3.0020679999999516,611.9426559999999,Sell
2020-07-03 22:00:00,9083.99,326.260132,475.153161,-148.893029,801.4132930000001,Sell
2020-07-03 23:00:00,9058.26,662.644319,838.280673,-175.63635399999998,1500.924992,Sell
2020-07-04 00:00:00,9072.41,418.776301,534.363826,-115.58752500000003,953.140127,Sell
2020-07-04 01:00:00,9072.0,306.366673,361.700949,-55.33427599999999,668.067622,Sell
2020-07-04 02:00:00,9087.83,650.985081,545.942955,105.04212600000005,1196.928036,Buy
2020-07-04 03:00:00,9085.02,260.390673,296.992942,-36.602269000000035,557.383615,Sell
2020-07-04 04:00:00,9085.74,307.083296,342.164365,-35.08106899999996,649.247661,Sell
2020-07-04 05:00:00,9091.59,370.427385,407.323065,-36.89567999999997,777.75045,Sell
2020-07-04 06:00:00,9078.68,317.411374,326.214475,-8.80310099999997,643.625849,Sell
2020-07-04 07:00:00,9073.54,408.793941,433.98217,-25.18822899999998,842.776111,Sell
