,lookback,holding,sharpe,cum_return,max_drawdown,num_trades,avg_holding_hours
7,24,720,-0.1297087138187947,0.8882505336484583,-0.3869890675449429,106,31.420440251572327
8,48,24,-0.23311017331107078,0.9064149183106273,-0.28148979549860587,117,10.988319088319088
9,48,48,0.13143107490976394,1.0131059620419813,-0.2853063994748788,111,16.932432432432435
10,48,72,-0.1410960993142542,0.8990194929288866,-0.363897395822805,110,20.656363636363636
11,48,96,-0.2660471941764476,0.8528926347874424,-0.36477675504315743,109,23.398929663608563
12,48,120,-0.09603458787852633,0.9089484448437389,-0.3643948203127525,105,25.559841269841268
13,48,180,-0.01513571909411117,0.9428095718006595,-0.3732015251623869,103,28.503236245954692
14,48,480,0.21337723470119743,1.0485669130414548,-0.35666016778923115,101,32.80511551155115
15,48,720,0.021099353887455867,0.9549789736260972,-0.35666016778923115,100,29.906666666666666
16,72,24,-0.08005034645564704,0.9520650355916681,-0.24530319437310155,111,11.12927927927928
17,72,48,0.3036212762141039,1.0892139719087819,-0.2678399902830716,105,17.385714285714286
18,72,72,0.02446674301709422,0.9665569342251225,-0.3161111769188748,104,21.328846153846154
19,72,96,-0.09955678022438617,0.91696486759998,-0.3170565966331207,103,24.237702265372167
20,72,120,0.05939530592268657,0.9772317832115702,-0.31664596965005976,99,26.563468013468015
21,72,180,0.13925084489301248,1.0136366746720022,-0.3261142645057772,97,29.709621993127147
22,72,480,0.3570398702980311,1.1273388717049968,-0.32044873258087436,95,34.30859649122807
23,72,720,0.1736452240174164,1.0267202838843321,-0.32044873258087436,94,31.24113475177305
24,96,24,0.20589878786664276,1.0412968096372623,-0.1942611160281682,100,11.564333333333334
25,96,48,0.6253478796630366,1.2439038533072966,-0.22228355687357038,94,18.292375886524823
26,96,72,0.33210009477633756,1.1038270954388796,-0.260524797996029,93,22.711648745519714
27,96,96,0.1810094659853549,1.0346256728549803,-0.2605247979960287,93,25.790860215053762
28,96,120,0.321398910602043,1.102625767862696,-0.2605247979960288,89,28.447752808988763
29,96,180,0.37347955229815016,1.129977547510863,-0.2605247979960287,88,31.717424242424244
30,96,480,0.5508673169104361,1.241649235421143,-0.278165718415036,87,36.429501915708805
31,96,720,0.37909267760909027,1.1308280832615145,-0.278165718415036,86,33.10135658914729
32,120,24,0.03648075094854749,0.9896197030410687,-0.20472821245570805,94,11.440070921985816
33,120,48,0.45734289129433386,1.1519903645501741,-0.2316161541910874,88,18.066666666666666
34,120,72,0.11608359350079403,1.0085056739552236,-0.278464712749786,87,22.512260536398465
35,120,96,0.0074467846376835645,0.9655115972091537,-0.2896048105423584,87,25.527969348659006
36,120,120,0.10139252439663629,0.9997037739411438,-0.29755991002174353,84,27.747023809523807
37,120,180,0.08829018712710295,0.9939858702958622,-0.29755991002174365,84,30.24781746031746
38,120,480,0.22505506363273234,1.055067768881612,-0.3143173208082647,83,34.40562248995984
39,120,720,0.013978287866405849,0.9608996073603021,-0.3143173208082647,82,30.890447154471545
40,180,24,-0.023003342048634485,0.9745363136302478,-0.17115746444754887,79,10.778902953586497
41,180,48,0.4137064070470885,1.1246933018185812,-0.2117551081183956,74,17.08828828828829
42,180,72,0.08930602103500161,1.0009367534061944,-0.2332517720845959,73,21.567808219178083
43,180,96,-0.029681655769794656,0.9585531392447783,-0.2376176019572911,73,24.50433789954338
44,180,120,-0.08400173641046978,0.935615063746884,-0.2848432600477969,72,26.07175925925926
45,180,180,-0.09859371812243374,0.9302637217563574,-0.30321517479870286,72,28.989351851851854
46,180,480,0.0673923236785259,0.9874298002775844,-0.284826861379733,71,33.832159624413144
47,180,720,-0.18376423001262318,0.8992985430579092,-0.284826861379733,70,29.706190476190475
