,lookback,holding,sharpe,cum_return,max_drawdown,num_trades,avg_holding_hours
6,24,480,2.432104966007776,4.516283687949894,-0.21451319895896115,244,42.131147540983605
7,24,720,2.4411554572645753,4.481714085314478,-0.21451319895896115,243,41.61316872427984
8,48,24,3.863757645617943,2.9922072078692756,-0.14983750792640593,274,13.237226277372264
9,48,48,3.2070338390338056,3.1663237572806033,-0.22819107486955925,260,19.584615384615386
10,48,72,3.274085120037891,3.9663128525399336,-0.21562388321703307,247,24.39271255060729
11,48,96,2.912869561595294,3.622294758090728,-0.2239390405714532,241,27.6597510373444
12,48,120,2.648284232059145,3.40780553795171,-0.2239390405714532,239,30.246861924686193
13,48,180,2.6146655682001247,3.756092674180842,-0.22393904057145342,226,35.8716814159292
14,48,480,2.5720289216146757,4.201924443724282,-0.22393904057145353,215,42.53023255813954
15,48,720,2.583596294227365,4.169761083678687,-0.22393904057145353,214,41.94392523364486
16,72,24,3.8374173381650603,2.6449781671648185,-0.1666520234848643,245,13.248979591836735
17,72,48,2.9117486424324226,2.50282530604257,-0.22197790622500135,232,19.405172413793103
18,72,72,3.3343811410059154,3.5057515616616604,-0.20497287344024384,222,24.41891891891892
19,72,96,2.9519348350171737,3.2610574637984513,-0.2049728734402435,215,28.069767441860463
20,72,120,2.762748924462912,3.2034411386181305,-0.20497287344024384,212,30.66509433962264
21,72,180,2.622691157829994,3.3380154063868197,-0.20497287344024395,200,37.425
22,72,480,2.7671512674494068,4.208598357070411,-0.20497287344024395,187,45.593582887700535
23,72,720,2.819603773227,4.259714936306084,-0.20497287344024395,186,44.865591397849464
24,96,24,3.8322585439733303,2.4290898562038157,-0.17308746373508155,221,13.253393665158372
25,96,48,3.161969975881526,2.502684106526932,-0.19353407802173261,208,19.076923076923077
26,96,72,3.761831399137128,3.6996137380335234,-0.1861916899054401,200,23.63
27,96,96,3.3589558293511677,3.498589460094257,-0.15550472458044828,195,27.661538461538463
28,96,120,3.4357729182107577,4.029348221714229,-0.16176325634536382,193,30.699481865284973
29,96,180,3.196518351470128,4.148234835433998,-0.15550472458044817,182,38.032967032967036
30,96,480,3.2251511686505454,5.1053599589888865,-0.15550472458044828,171,46.994152046783626
31,96,720,3.2863006596544877,5.167368379543407,-0.15550472458044828,170,46.205882352941174
32,120,24,4.6026763295201985,2.835457746127075,-0.1528785340432166,206,13.451456310679612
33,120,48,3.7808037571146347,2.9635264747734444,-0.17382484348798155,194,19.70618556701031
34,120,72,4.309693294227173,4.380857828003273,-0.16630301462226893,186,24.629032258064516
35,120,96,3.855181017020497,4.142817090783761,-0.14524769694377337,181,29.0
36,120,120,3.866680033147118,4.714053658945418,-0.14524769694377315,180,32.11666666666667
37,120,180,3.5438150912196704,4.7949049131011074,-0.14524769694377337,170,40.1764705882353
38,120,480,3.5355264165060527,5.90123667575449,-0.14524769694377337,159,50.0125786163522
39,120,720,3.6017098297431107,5.972911615136123,-0.14524769694377337,158,49.18354430379747
40,180,24,5.987370987800437,3.3313149779310773,-0.0988372102495294,166,13.602409638554217
41,180,48,4.7605419023909965,3.266837016030877,-0.12435839071261356,158,19.411392405063292
42,180,72,4.809656488268187,3.991605329468844,-0.12435839071261356,151,24.67549668874172
43,180,96,4.387959703684319,3.9074095558650876,-0.12435839071261334,146,29.315068493150687
44,180,120,4.101755286289265,3.8787456197395667,-0.15916884094244665,145,32.744827586206895
45,180,180,3.7224366135003346,3.9740837644713816,-0.1323365237407388,140,40.59285714285714
46,180,480,3.7606279115099137,5.0611682275503,-0.12435839071261356,128,53.7578125
47,180,720,3.8415253735862276,5.122639906427429,-0.12435839071261356,127,52.75590551181102
48,240,24,5.479586968475049,2.5136001351832156,-0.1137230675228883,148,13.162162162162161
49,240,48,4.2551274600632105,2.463452149127914,-0.12435839071261345,141,18.95035460992908
50,240,72,4.286470721797206,2.854094488834252,-0.12435839071261356,134,24.23134328358209
51,240,96,3.9350691225735486,2.8348203792432867,-0.12435839071261334,128,28.9296875
52,240,120,3.448079755930318,2.5972731424110593,-0.12435839071261334,127,31.913385826771652
53,240,180,3.037935664728027,2.459766632106623,-0.12435839071261323,124,37.75
54,240,480,3.1493014231986454,3.142954690719796,-0.12435839071261334,115,52.6
55,240,720,3.2315715259648967,3.1811282294734777,-0.12435839071261334,114,51.473684210526315
56,480,24,5.340384922057653,1.9181579800427464,-0.07914892713925403,109,12.55045871559633
57,480,48,4.1451420207393115,1.8954397895044717,-0.10622554602229028,104,17.932692307692307
58,480,72,4.113563021631333,2.047895720558993,-0.1154386306193469,99,22.404040404040405
59,480,96,3.6037122024084183,1.9366691294947187,-0.10486811123847906,94,26.47872340425532
60,480,120,3.4391988504627613,1.9472043827825138,-0.11756846714094749,93,28.86021505376344
61,480,180,3.066583393787523,1.876098527181945,-0.1029585703672955,91,33.76923076923077
62,480,480,3.2427743331685797,2.2834167777516265,-0.1029585703672955,89,44.30337078651685
63,480,720,3.3681877909664304,2.311150584768853,-0.1029585703672955,88,42.75
64,720,24,4.83185957390048,1.5441129820243966,-0.07719969448446895,86,12.453488372093023
65,720,48,4.567508219521989,1.728325505586897,-0.10295857036729505,81,18.0
66,720,72,4.151788724184979,1.790368884755958,-0.10295857036729505,77,23.038961038961038
67,720,96,3.9393801658900607,1.8064874855142723,-0.10295857036729505,73,27.10958904109589
68,720,120,4.190044933630589,1.9678145700183822,-0.10295857036729494,72,29.805555555555557
69,720,180,3.577528179961337,1.8373240363296528,-0.10295857036729539,70,35.357142857142854
70,720,480,3.5904537957080196,2.143646478586245,-0.10295857036729505,68,48.411764705882355
71,720,720,3.7540875080260823,2.169682670633851,-0.10295857036729505,67,46.43283582089552
